Postcode,Sales_Rep_ID,Sales_Rep_Name,Year,Value
2061,456,Jane,2013,85199.7115766715
2191,456,Jane,2011,18626.83222559
2052,789,Ashish,2012,52173.1177241809
2129,123,John,2013,23168.9131469292
2152,789,Ashish,2011,12454.7612731365
2161,789,Ashish,2012,87956.7828324401
2090,123,John,2013,41927.9606066534
2153,789,Ashish,2011,92727.5427433407
2109,789,Ashish,2012,42204.8233603686
2018,123,John,2013,36658.7795999004
2091,456,Jane,2011,34478.7404944045
2199,789,Ashish,2012,25315.4609363835
2000,789,Ashish,2013,83705.8221285515
2204,789,Ashish,2011,99743.831149157
2043,123,John,2012,63982.4256508026
2073,789,Ashish,2013,34375.956105908
2121,123,John,2011,54646.9961861913
2028,456,Jane,2012,62273.3472388313
2147,789,Ashish,2013,23527.9732228974
2037,123,John,2011,13587.7947729503
2028,789,Ashish,2012,31934.8283484128
2128,123,John,2013,38554.1603031936
2063,789,Ashish,2011,15321.6402211029
2115,123,John,2012,8071.88870574098
2192,456,Jane,2013,56303.463884179
2048,789,Ashish,2011,99878.4892085443
2094,789,Ashish,2012,20724.0152718371
2118,789,Ashish,2013,42536.1604196542
2166,123,John,2011,81440.1266981587
2144,789,Ashish,2012,34311.5504255155
2163,789,Ashish,2013,58998.3716425971
2195,456,Jane,2011,22991.4136478975
2141,789,Ashish,2012,87834.7166682544
2114,789,Ashish,2013,68606.1435537866
2000,123,John,2011,29852.4945367098
2200,789,Ashish,2012,12875.7598021253
2138,456,Jane,2013,90142.1017793189
2066,123,John,2011,82466.9744971985
2008,123,John,2012,26125.3168399485
2022,789,Ashish,2013,98199.9339922312
2048,123,John,2011,87566.6587740815
2061,789,Ashish,2012,31229.6176075415
2193,123,John,2013,79937.6301326218
2113,789,Ashish,2011,70309.5481594999
2131,123,John,2012,35669.7868815247
2010,789,Ashish,2013,95019.3576624147
2015,456,Jane,2011,79888.0606745894
2116,789,Ashish,2012,46537.4588967579
2069,456,Jane,2013,69285.4222115302
2112,789,Ashish,2011,75681.7378289959
2033,456,Jane,2012,39497.3194821956
2064,123,John,2013,27992.3225687378
2161,123,John,2011,41023.2022051648
2190,123,John,2012,63169.8260098106
2007,456,Jane,2013,2299.48755696266
2163,456,Jane,2011,10715.2162877294
2153,456,Jane,2012,17557.0859120252
2092,123,John,2013,28856.1898679761
2039,456,Jane,2011,55997.7103443014
2086,789,Ashish,2012,34227.7036547901
2204,123,John,2013,19758.961798386
2047,456,Jane,2011,99865.2115719124
2206,123,John,2012,37001.9060664255
2009,789,Ashish,2013,86506.4243271002
2197,123,John,2011,64203.0651008344
2062,789,Ashish,2012,95385.9498904025
2206,456,Jane,2013,53130.2468590194
2119,123,John,2011,5597.40574401288
2017,789,Ashish,2012,86748.6998484034
2132,456,Jane,2013,80783.343761081
2066,789,Ashish,2011,65529.8318187818
2072,789,Ashish,2012,29271.2160208558
2088,123,John,2013,67071.5847507542
2196,456,Jane,2011,53379.3773043865
2163,123,John,2012,62579.1971130615
2006,456,Jane,2013,24772.9255681893
2030,789,Ashish,2011,19129.7732488176
2087,456,Jane,2012,72140.5715811411
2089,456,Jane,2013,67958.1527573605
2196,789,Ashish,2011,60643.7186691596
2138,123,John,2012,61284.7266184739
2139,456,Jane,2013,91989.482331512
2194,456,Jane,2011,60771.1536100609
2086,123,John,2012,26037.6457340147
2122,123,John,2013,13474.8141160853
2038,123,John,2011,82932.2283694952
2061,123,John,2012,40689.8394511985
2170,123,John,2013,36190.4347168374
2135,789,Ashish,2011,46688.9560435377
2131,789,Ashish,2012,30040.114626924
2091,123,John,2013,57249.6754707798
2042,123,John,2011,38291.8733745921
2205,456,Jane,2012,10553.5736173954
2150,456,Jane,2013,73270.0847035129
2070,456,Jane,2011,58037.6606333204
2067,456,Jane,2012,42027.3456735095
2130,123,John,2013,1512.85062106671
2091,789,Ashish,2011,32609.6212035591
2021,123,John,2012,16079.8937589805
2063,123,John,2013,52398.0217211941
2131,456,Jane,2011,66041.2716007505
2117,123,John,2012,45504.4403423104
2100,789,Ashish,2013,55364.5093906905
2147,456,Jane,2011,81415.0591917799
2161,456,Jane,2012,59929.4245640857
2095,789,Ashish,2013,48057.9670682904
2139,789,Ashish,2011,63168.2500567508
2123,789,Ashish,2012,68917.0282803923
2064,789,Ashish,2013,27359.9129205687
2125,456,Jane,2011,98235.4727105248
2152,456,Jane,2012,31708.5022629604
2111,789,Ashish,2013,39710.8743087163
2046,123,John,2011,73977.5343402533
2113,456,Jane,2012,40581.4354957229
2200,123,John,2013,58857.7793553886
2027,123,John,2011,17271.3941304869
2191,123,John,2012,7711.32542249801
2165,123,John,2013,11815.3586828027
2050,123,John,2011,55590.7565648292
2065,789,Ashish,2012,83495.3984466275
2023,789,Ashish,2013,71675.9694979266
2069,789,Ashish,2011,42792.283469262
2069,123,John,2012,44478.4105517881
2151,456,Jane,2013,71534.5552221656
2146,456,Jane,2011,1255.2468378405
2037,789,Ashish,2012,41511.8818741475
2145,789,Ashish,2013,56897.9247317687
2145,456,Jane,2011,72323.543617224
2071,789,Ashish,2012,80893.0116439394
2192,123,John,2013,11247.7946143047
2140,123,John,2011,89201.6823403329
2026,789,Ashish,2012,37880.6331829001
2033,123,John,2013,87068.0536091963
2099,123,John,2011,82289.5216073012
2125,123,John,2012,35987.1306505572
2089,789,Ashish,2013,89068.9255978179
2136,123,John,2011,83058.6732319339
2022,456,Jane,2012,1246.10576595272
2067,123,John,2013,57862.6874103977
2127,789,Ashish,2011,70493.8925430891
2118,456,Jane,2012,13243.3114922201
2065,123,John,2013,88484.9756047204
2193,789,Ashish,2011,82687.1223455347
2073,456,Jane,2012,3158.19131928419
2026,123,John,2013,55338.7023116972
2011,789,Ashish,2011,43355.9232354888
2087,123,John,2012,9482.6597073668
2024,456,Jane,2013,43002.1634717224
2192,789,Ashish,2011,24077.8187865124
2109,456,Jane,2012,45718.9595032793
2130,789,Ashish,2013,51693.3607174824
2194,123,John,2011,66864.3068679933
2141,123,John,2012,54682.8688313787
2136,789,Ashish,2013,881.774381402523
2033,789,Ashish,2011,76990.3658013604
2072,123,John,2012,35366.4901436994
2063,456,Jane,2013,93341.1644873984
2018,789,Ashish,2011,97167.7845065577
2164,123,John,2012,88884.5352168193
2193,456,Jane,2013,79440.2908125608
2031,123,John,2011,65643.6894536561
2130,456,Jane,2012,66247.8748687211
2116,456,Jane,2013,3195.69905449765
