SALES_ID,SALES_BY_REGION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
22,AUH,5104,1705,4359,3943,2558,2959,2168,2421,1428,2145,5290,3518
20, FUJ,5185,2965,3086,5544,4954,1850,4227,5194,1789,4312,3810,3051
21,SHJ,4786,3886,1189,4838,1382,4390,1793,3089,3042,5337,5378,1919
29,UAQ,5325,1905,5049,1311,4146,1706,1689,3190,2915,2183,3301,4365
20,SHJ,4300,1906,1362,4339,1100,2488,4218,1396,2802,1623,2953,2978
28,DXB,2890,1850,1201,2790,5640,3479,3317,940,2036,2533,4840,5290
5,AJM,5584,1103,2838,3520,2250,1435,3035,4572,5450,2374,1549,4885
22,AUH,5895,1099,2597,4715,903,5241,1379,919,4051,4583,2708,4437
28,AJM,2359,3735,5507,5119,2121,1373,3289,4712,3232,3017,2527,2343
17,DXB,1755,4724,5373,4205,5086,3074,3311,3221,4513,4043,1511,2833
4,AJM,4673,1322,2615,3423,5694,3544,2093,2676,5979,5481,4786,1637
15,AUH,5783,1660,2749,5773,2209,5604,1843,2921,3870,4072,5460,2330
16,DXB,4947,5882,3488,3975,5306,5433,3698,2541,3601,2155,5835,996
11,UAQ,5458,2735,5601,3696,3152,1452,2443,2110,5752,5045,2048,2156
10,AJM,5172,4640,2336,4525,3747,3300,2283,2671,1918,5942,4969,3420
30, FUJ,3402,5283,2229,3758,1427,1057,5277,5231,3909,4345,5287,2638
29, FUJ,1677,4350,2725,4171,3561,4974,4353,1735,3414,2825,5899,1784
9,AJM,4057,4054,5585,1622,5750,3851,1057,2056,5845,3177,4319,1216
11,DXB,4175,3031,2984,4860,3064,2574,5353,3274,3752,1053,3143,3768
10,UAQ,5782,1537,1576,2592,3592,5357,3371,5250,1550,2449,1531,4984
9,AJM,4778,1397,4680,5631,3471,3156,5855,5871,1644,5179,4054,1572
12,DXB,2087,4927,2188,4005,952,4442,4744,4200,3328,3988,2312,4314
6,DXB,2223,2054,3339,4368,4539,5852,2304,1841,4616,4180,2503,4211
5,DXB,4258,1397,3824,4715,3150,5572,968,1014,2784,5913,969,4153
3,AUH,1722,956,1297,1984,2744,5793,2261,5607,2437,4328,3317,5390
28,AJM,1994,936,1273,3545,5690,4430,2311,1589,1919,3776,3436,2042
16,DXB,1900,4003,3662,5126,2988,3602,5351,4534,5439,2501,5619,3875
29, FUJ,2492,1833,2982,4292,5540,5847,909,2339,4868,5207,5938,1793
22,SHJ,4275,5737,5899,3974,1751,3739,3221,2145,5540,3978,3952,5297
27,AJM,3937,2509,5189,3105,5919,5777,2928,3377,1967,2794,1397,4087
13,DXB,3644,2625,2655,2245,5184,1853,1659,1777,5669,3493,4469,2158
23,SHJ,2081,5045,4649,1884,4768,3305,5057,1856,4863,5718,2934,1066
21,UAQ,1094,1759,3711,5719,2635,5147,3268,3995,1582,2178,2589,5593
4,RAK,4862,947,3400,3913,5654,2504,1922,1577,2766,2318,5906,5477
15,UAQ,5181,5134,1136,5120,2687,2914,2099,3187,4578,2761,3896,1361
20,AUH,2551,4957,4401,939,2539,5449,4153,5768,1350,1110,4871,2402
22,SHJ,1371,1019,1887,2783,3723,3223,1126,3850,1561,5736,4837,4161
7, FUJ,5564,1972,3522,2779,1371,5419,1398,4277,5467,4831,1507,3749
23,SHJ,2783,3818,1335,2503,2770,1618,5763,1165,2807,3700,4310,3425
24,SHJ,3435,4180,4428,3803,4870,5462,2084,4043,989,3482,3999,2884
7, FUJ,1119,1666,3257,1188,5301,1362,3452,912,4756,962,3618,1351
30,AJM,2028,2006,5120,5959,3127,3962,4780,3200,1836,2623,1607,2371
30, FUJ,5549,1302,1929,2822,5379,1243,3075,4358,5106,2322,2409,1069
25,AJM,2907,1289,1912,4458,1778,2860,5233,1372,4938,4815,4523,4835
25,AJM,2926,3504,2663,2270,5023,5796,3577,3664,5803,4233,3801,1264
28,AJM,2780,5269,2199,2280,4474,3074,3272,1465,3147,2672,3451,2008
13, FUJ,2299,4117,3266,5573,5823,5486,5033,3064,1322,2243,1962,1884
21, FUJ,1721,2764,2929,4390,4411,1073,2053,3536,2579,3186,5049,1061
24,AJM,4500,5624,2172,1018,4830,4805,4757,5604,4298,2382,2006,5594
21,RAK,1446,3690,2340,2455,2681,5830,4533,4422,3505,2312,5464,4993
26, FUJ,5875,3569,4970,4298,3061,2990,1101,2366,925,5375,2681,5602
5,SHJ,1738,5212,4647,3637,4616,4651,2298,3097,4239,3001,2457,975
20,SHJ,4982,2453,2996,2664,2897,3852,1966,4062,4937,3645,3263,5757
5,RAK,5847,5635,2110,944,2597,2381,2094,5849,2393,3246,5784,1486
14,AUH,5394,2572,2003,5599,3283,5743,1905,2885,4412,1104,971,5760
8, FUJ,1297,1100,3360,4455,3467,3968,3258,2397,3334,1161,4090,5740
24,AJM,3357,5226,1798,1355,1872,1807,4542,3924,2053,3276,3081,1297
7,SHJ,1723,1196,2044,925,2973,1581,1812,4429,1230,5813,2119,3105
22, FUJ,2994,4994,5566,1828,3021,5685,5131,3388,5078,1196,4969,2115
3,AUH,2634,2143,3698,5767,2782,4444,5036,4805,5792,5256,4096,3170
4,RAK,5829,1802,2345,5131,3662,1323,3214,1150,1191,1328,3766,2050
8,AUH,3662,1282,5629,3035,4231,3388,3543,2794,2834,1203,3920,4093
1,UAQ,2967,2425,5353,3547,5027,4078,3858,1927,3527,4179,1571,5551
4,AJM,4870,4645,5521,4824,3899,1118,3665,5241,2433,5215,1858,4667
26,AUH,2348,2759,2304,5093,5551,2759,3339,5626,5363,1110,4452,2148
20,AJM,2091,1116,5130,1358,3521,5272,2727,2937,1381,4395,3684,3414
12,AUH,1412,5799,2445,1710,3216,5702,3770,1129,2416,4194,5751,4963
7,RAK,972,1938,5041,2119,3172,2327,2104,4796,2454,1500,4799,2987
12,AJM,2098,5692,1697,3659,1356,1447,3316,2757,1130,5918,4138,953
10,UAQ,4075,3173,3093,1994,1924,5040,1973,3972,2122,1804,1656,4904
17,SHJ,3218,1086,2651,3154,4572,3979,4408,3083,3164,1184,1610,1996
